iteration,x1,x2,f_value
0,1.0,2.0,7.0
1,-1.0,-0.5,1.75
2,0.25,0.5,0.4375
3,-0.25,-0.125,0.109375
4,0.0625,0.125,0.02734375
5,-0.0625,-0.03125,0.0068359375
6,0.015625,0.03125,0.001708984375
7,-0.015625,-0.0078125,0.00042724609375
8,0.00390625,0.0078125,0.0001068115234375
9,-0.00390625,-0.001953125,2.6702880859375e-5
10,0.0009765625,0.001953125,6.67572021484375e-6
11,-0.0009765625,-0.00048828125,1.6689300537109375e-6
12,0.000244140625,0.00048828125,4.172325134277344e-7
13,-0.000244140625,-0.0001220703125,1.043081283569336e-7
14,6.103515625e-5,0.0001220703125,2.60770320892334e-8
15,-6.103515625e-5,-3.0517578125e-5,6.51925802230835e-9
16,1.52587890625e-5,3.0517578125e-5,1.6298145055770874e-9
17,-1.52587890625e-5,-7.62939453125e-6,4.0745362639427185e-10
18,3.814697265625e-6,7.62939453125e-6,1.0186340659856796e-10
19,-3.814697265625e-6,-1.9073486328125e-6,2.546585164964199e-11
20,9.5367431640625e-7,1.9073486328125e-6,6.366462912410498e-12
21,-9.5367431640625e-7,-4.76837158203125e-7,1.5916157281026244e-12
22,2.384185791015625e-7,4.76837158203125e-7,3.979039320256561e-13
23,-2.384185791015625e-7,-1.1920928955078125e-7,9.947598300641403e-14
24,5.960464477539063e-8,1.1920928955078125e-7,2.4868995751603507e-14
25,-5.960464477539063e-8,-2.9802322387695312e-8,6.217248937900877e-15
26,1.4901161193847656e-8,2.9802322387695312e-8,1.5543122344752192e-15
27,-1.4901161193847656e-8,-7.450580596923828e-9,3.885780586188048e-16
28,3.725290298461914e-9,7.450580596923828e-9,9.71445146547012e-17
29,-3.725290298461914e-9,-1.862645149230957e-9,2.42861286636753e-17
30,9.313225746154785e-10,1.862645149230957e-9,6.071532165918825e-18
31,-9.313225746154785e-10,-4.656612873077393e-10,1.5178830414797062e-18
32,2.3283064365386963e-10,4.656612873077393e-10,3.7947076036992655e-19
33,-2.3283064365386963e-10,-1.1641532182693481e-10,9.486769009248164e-20
34,5.820766091346741e-11,1.1641532182693481e-10,2.371692252312041e-20
35,-5.820766091346741e-11,-2.9103830456733704e-11,5.929230630780102e-21
